aircraft_id,registration,model,manufacturer,icao_type_code,owner
1,VT-TQG,Airbus A320 NEO,Airbus,A320,Air India
2,VT-SGG,Boeing 737-800,Boeing,737-800,SpiceJet
3,VT-IJW,Airbus A320 NEO,Airbus,A320,IndiGo
4,VT-RTW,Airbus A320 NEO,Airbus,A320,Air India
5,VT-IIR,Airbus A320 NEO,Airbus,A320,IndiGo
6,9H-SLF,Airbus A320,Airbus,A320,IndiGo
7,VT-IWT,Airbus A320,Airbus,A320,IndiGo
8,VT-RTL,Airbus A320 NEO,Airbus,A320,Air India
9,VT-ILJ,Airbus A321 NEO,Airbus,A321,IndiGo
10,VT-TQL,Airbus A320 NEO,Airbus,A320,Air India
11,VT-PPO,Airbus A321,Airbus,A321,Air India
12,VT-IAS,Airbus A320 (Sharklets),Airbus,A320,IndiGo
13,VT-TNV,Airbus A320 NEO,Airbus,A320,Vistara
14,VT-HKG,Airbus A320,Airbus,A320,Air India Express
15,VT-PPW,Airbus A321,Airbus,A321,Air India
16,VT-ICC,Airbus A321 NEO,Airbus,A321,IndiGo
17,A6-BLC,Boeing 787-9,Boeing,787-9,Etihad
18,VT-KOC,Airbus A320,Airbus,A320,Air India Express
19,VT-ILG,Airbus A321 NEO,Airbus,A321,IndiGo
20,VT-MXC,Boeing 737 MAX 8,Boeing,737,SpiceJet
21,VT-TVD,Airbus A321 NEO,Airbus,A321,Air India
22,VT-RTX,Airbus A320 NEO,Airbus,A320,Air India
23,VT-ATV,Airbus A320 NEO,Airbus,A320,Air India
24,VT-NCE,Airbus A320,Airbus,A320,IndiGo
25,VT-SLC,Boeing 737-900,Boeing,737-900,SpiceJet
26,VT-TNS,Airbus A320 NEO,Airbus,A320,Air India
27,VT-TVG,Airbus A321 NEO,Airbus,A321,Air India
28,9V-SKZ,Airbus A380-800,Airbus,A380-800,Singapore
29,VT-TNI,Airbus A320 NEO,Airbus,A320,Air India
30,VT-GWH,Airbus A320,Airbus,A320,Air India Express
31,VT-ATB,Airbus A320,Airbus,A320,Air India Express
32,VT-YBC,Boeing 737,Boeing,737,Starlight Airline
33,VT-ANQ,Boeing 787-8,Boeing,787-8,Air India
34,C-FIUF,Boeing 777-200,Boeing,777-200,Air Canada
35,VT-PPX,Airbus A321,Airbus,A321,Air India
36,VT-IWQ,Airbus A320,Airbus,A320,IndiGo
