delay_id,airport_iata,delay_date,total_flights,delayed_flights,avg_delay_min,median_delay_min,canceled_flights
1,DEL,04-04-2025,752,119,59,39,6
2,BOM,04-04-2025,493,37,40,35,2
3,BLR,04-04-2025,513,82,41,25,9
4,MAA,04-04-2025,313,10,22,8,0
5,HYD,04-04-2025,343,14,19,15,1
6,CCU,04-04-2025,227,13,22,30,0
7,AMD,04-04-2025,198,33,20,13,0
8,COK,04-04-2025,142,8,15,14,0
9,GOI,04-04-2025,79,1,10,10,0
10,PNQ,04-04-2025,179,5,11,10,1
11,LKO,04-04-2025,110,4,9,10,1
12,PAT,04-04-2025,44,1,10,10,0
13,IXC,04-04-2025,49,4,18,18,0
14,TRV,04-04-2025,73,4,30,21,2
15,IXM,04-04-2025,52,4,25,25,0
