flight_id,flight_number,aircraft_registration,origin_iata,destination_iata,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,status,airline_code
477d0852-a92e-4839-9f5c-385e8c289eef,6E 2163,Unknown,DEL,BOM,2025-04-04 20:00:00+05:30,2025-04-04 20:00+05:30,2025-04-04 22:20+05:30,2025-04-04 22:20+05:30,Departed,6E
23f13d40-839b-491b-895e-49afbfffe3d8,AI 2637,Unknown,DEL,IXC,2025-04-04 20:00:00+05:30,2025-04-04 20:00+05:30,2025-04-04 21:10+05:30,2025-04-04 21:10+05:30,Departed,AI
b2cc37a5-9a60-4497-a67c-d46b063c8a93,AI 2835,VT-TQG,DEL,MAA,2025-04-04 20:00:00+05:30,2025-04-04 20:00+05:30,2025-04-04 22:55+05:30,2025-04-04 22:55+05:30,Departed,AI
7d1a6153-d3d3-47fb-a420-181fb98d5df7,SG 477,VT-SGG,DEL,Unknown,2025-04-04 15:25:00+05:30,2025-04-04 20:01+05:30,Unknown,Unknown,Departed,SG
1cb48d5d-a8f2-40dc-b044-6fe7f9ffd062,SV 759,Unknown,DEL,JED,2025-04-04 20:05:00+05:30,2025-04-04 20:05+05:30,2025-04-04 23:05+03:00,2025-04-04 23:05+03:00,Departed,SV
b1b44adf-9af5-445d-b69d-f535cbdee7a4,AI 2871,Unknown,DEL,HYD,2025-04-04 20:10:00+05:30,2025-04-04 20:10+05:30,2025-04-04 22:20+05:30,2025-04-04 22:20+05:30,Departed,AI
de175052-ac51-4d20-97a0-55b354d7ea4f,AI 2809,VT-RTW,DEL,BLR,2025-04-04 20:10:00+05:30,2025-04-04 20:10+05:30,2025-04-04 22:55+05:30,2025-04-04 23:10+05:30,Departed,AI
7ee985f9-9a46-454c-811a-3a2b1d46f8c4,6E 2156,VT-IJW,DEL,TRV,2025-04-04 20:10:00+05:30,2025-04-04 20:10+05:30,2025-04-04 23:30+05:30,2025-04-04 23:30+05:30,Departed,6E
d78bd9ac-5bf5-4396-bb0d-2ed1fa47017a,6E 2273,Unknown,DEL,PNQ,2025-04-04 20:10:00+05:30,2025-04-04 20:10+05:30,2025-04-04 22:30+05:30,2025-04-04 22:30+05:30,Departed,6E
93a78c9d-20a0-40b4-a207-0016d25352cf,6E 2391,VT-IIR,DEL,COK,2025-04-04 20:15:00+05:30,2025-04-04 20:15+05:30,2025-04-04 23:25+05:30,2025-04-04 23:25+05:30,Departed,6E
